#GISTEMP Team, 2018: GISS Surface Temperature Analysis (GISTEMP). NASA Goddard Institute for Space
#Studies. Dataset accessed 2018-07-03 at https://data.giss.nasa.gov/gistemp/
#Land-Ocean: Global Means, relative to 1951-1980
#Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1916,-.08,-.12,-.28,-.30,-.32,-.46,-.35,-.25,-.31,-.27,-.39,-.80,-.33,-.27,-.12,-.30,-.36,-.32
1917,-.58,-.61,-.60,-.50,-.55,-.43,-.25,-.21,-.17,-.40,-.27,-.66,-.44,-.45,-.66,-.55,-.29,-.28
1918,-.42,-.31,-.24,-.44,-.45,-.35,-.31,-.29,-.14,-.05,-.10,-.27,-.28,-.31,-.46,-.38,-.32,-.10
1919,-.19,-.22,-.19,-.13,-.27,-.37,-.28,-.32,-.22,-.18,-.40,-.41,-.27,-.25,-.23,-.20,-.32,-.27
1920,-.22,-.22,-.07,-.25,-.26,-.36,-.31,-.24,-.18,-.26,-.26,-.43,-.25,-.25,-.28,-.20,-.30,-.23
1921,-.02,-.18,-.22,-.29,-.28,-.27,-.14,-.23,-.16,-.02,-.12,-.16,-.18,-.20,-.21,-.26,-.22,-.10
1922,-.33,-.43,-.12,-.23,-.33,-.32,-.25,-.30,-.31,-.31,-.13,-.17,-.27,-.27,-.31,-.23,-.29,-.25
1923,-.28,-.36,-.33,-.39,-.34,-.25,-.29,-.29,-.27,-.11,.01,-.02,-.24,-.26,-.27,-.35,-.28,-.12
1924,-.22,-.23,-.06,-.31,-.18,-.22,-.25,-.33,-.30,-.33,-.19,-.41,-.25,-.22,-.15,-.18,-.27,-.27
1925,-.36,-.38,-.25,-.25,-.29,-.32,-.27,-.15,-.16,-.17,.05,.09,-.21,-.25,-.38,-.26,-.25,-.09
1926,.20,.06,.12,-.12,-.22,-.22,-.24,-.13,-.12,-.09,-.04,-.27,-.09,-.06,.12,-.07,-.19,-.09
1927,-.27,-.17,-.36,-.30,-.25,-.26,-.17,-.20,-.10,.01,-.02,-.32,-.20,-.20,-.24,-.30,-.21,-.04
1928,.00,-.07,-.26,-.27,-.29,-.36,-.18,-.21,-.17,-.16,-.08,-.17,-.19,-.20,-.13,-.27,-.25,-.14
1929,-.45,-.59,-.31,-.39,-.37,-.40,-.33,-.29,-.22,-.12,-.11,-.53,-.34,-.31,-.40,-.36,-.34,-.15
1930,-.30,-.27,-.08,-.24,-.23,-.20,-.19,-.12,-.12,-.08,.17,-.06,-.14,-.18,-.36,-.18,-.17,-.01
1931,-.10,-.24,-.07,-.21,-.19,-.07,-.02,-.02,-.06,.02,-.11,-.09,-.10,-.09,-.13,-.16,-.04,-.05
1932,.15,-.18,-.19,-.06,-.18,-.29,-.23,-.23,-.11,-.10,-.26,-.25,-.16,-.15,-.04,-.14,-.25,-.16
1933,-.34,-.33,-.29,-.25,-.29,-.33,-.21,-.24,-.26,-.20,-.29,-.45,-.29,-.27,-.31,-.28,-.26,-.25
1934,-.24,-.03,-.32,-.30,-.10,-.15,-.10,-.11,-.16,-.07,.04,-.03,-.13,-.17,-.24,-.24,-.12,-.06
1935,-.33,.15,-.12,-.35,-.30,-.26,-.22,-.22,-.20,-.08,-.28,-.20,-.20,-.19,-.07,-.26,-.23,-.19
1936,-.28,-.38,-.22,-.20,-.18,-.21,-.08,-.13,-.09,-.04,-.03,-.03,-.15,-.17,-.29,-.20,-.14,-.05
1937,-.13,.04,-.18,-.16,-.07,-.05,-.05,.02,.12,.09,.10,-.11,-.03,-.03,-.04,-.14,-.03,.10
1938,.02,-.02,.08,.04,-.10,-.18,-.09,-.05,.03,.12,.04,-.22,-.03,-.02,-.04,.01,-.11,.06
1939,-.07,-.08,-.19,-.09,-.05,-.08,-.08,-.07,-.06,-.03,.06,.45,-.02,-.08,-.12,-.11,-.07,-.01
1940,-.05,.13,.16,.18,.10,.08,.12,.05,.13,.08,.17,.28,.12,.13,.17,.15,.08,.13
1941,.21,.33,.08,.17,.15,.12,.21,.14,.02,.34,.24,.21,.19,.19,.27,.13,.16,.20
1942,.26,.02,.10,.11,.09,.05,.00,-.04,-.04,-.01,.08,.07,.06,.07,.16,.10,.00,.01
1943,-.04,.14,-.08,.07,.04,-.06,.08,.01,.06,.22,.20,.25,.07,.06,.06,.01,.01,.16
1944,.35,.26,.27,.20,.19,.20,.19,.17,.30,.26,.10,.02,.21,.23,.29,.22,.18,.22
1945,.10,-.01,.07,.19,.05,.00,.03,.27,.22,.18,.07,-.09,.09,.10,.04,.10,.10,.16
1946,.15,.07,.01,.06,-.08,-.21,-.14,-.16,-.07,-.06,-.06,-.35,-.07,-.05,.04,.00,-.17,-.06
1947,-.12,-.08,.07,.07,-.03,.02,-.07,-.09,-.13,.06,.02,-.16,-.04,-.05,-.18,.04,-.05,-.02
1948,.07,-.16,-.25,-.11,.01,-.04,-.11,-.12,-.11,-.07,-.12,-.23,-.10,-.10,-.08,-.12,-.09,-.10
1949,.09,-.17,-.03,-.10,-.08,-.23,-.14,-.12,-.14,-.07,-.10,-.22,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.07,-.20,-.10,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.34,-.43,-.21,-.12,.00,-.02,.03,.06,.09,.06,-.01,.14,-.06,-.09,-.32,-.11,.03,.04
1952,.13,.11,-.09,.02,-.02,-.03,.04,.05,.08,.00,-.14,-.01,.01,.02,.13,-.03,.02,-.02
1953,.08,.14,.11,.18,.09,.10,.00,.06,.05,.06,-.05,.03,.07,.07,.07,.13,.06,.02
1954,-.28,-.13,-.15,-.16,-.21,-.17,-.18,-.16,-.09,-.04,.06,-.21,-.14,-.12,-.13,-.17,-.17,-.03
1955,.14,-.18,-.34,-.21,-.20,-.11,-.12,.01,-.11,-.05,-.24,-.30,-.14,-.14,-.08,-.25,-.08,-.13
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.07,-.20,-.22,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.01,.11,.06
1958,.39,.24,.11,.03,.06,-.07,.05,-.03,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.09,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.18,-.02,.01
1961,.07,.19,.08,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.05,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.04,.02,-.01,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.08,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.13,.17
1964,-.08,-.13,-.23,-.32,-.25,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.27,-.09,-.27
1965,-.08,-.17,-.11,-.19,-.14,-.09,-.13,-.03,-.16,-.05,-.07,-.06,-.11,-.13,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.13,-.11,.01,.10,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.04,-.05,.15,-.08,.01,.01,-.06,.08,-.07,-.03,-.02,-.02,-.11,.05,-.02,-.01
1968,-.26,-.15,.21,-.06,-.13,-.08,-.12,-.09,-.18,.11,-.03,-.13,-.08,-.07,-.15,.01,-.10,-.04
1969,-.11,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.03,-.12,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.07,.20,.04,-.04,.06
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.16,.02,.00,-.04,.06,.01,.17,.02,.09,.04,.19,.01,-.01,-.16,.00,.08,.05
1973,.29,.31,.27,.26,.25,.17,.10,.03,.09,.14,.06,-.06,.16,.18,.26,.26,.10,.10
1974,-.15,-.29,-.06,-.12,-.02,-.07,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.17,-.07,.00,-.09
1975,.07,.06,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.02,-.01,.01,.11,-.07,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.14,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.27,.30,.24,.20,.16,.00,.02,.17,.03,.17,.18,.17,.27,.20,.06
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.05,.00,.15,.10,.06,.06,.08,.14,-.06,.07
1979,.12,-.10,.18,.13,.05,.13,.02,.13,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.42,.30,.33,.36,.17,.28,.23,.19,.18,.29,.19,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.31,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.32,.18
1982,.10,.15,-.01,.09,.15,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.52,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.24,.29
1984,.30,.17,.29,.08,.33,.06,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.23,.13,.14
1985,.22,-.07,.17,.11,.17,.18,-.01,.15,.15,.11,.08,.15,.12,.10,.03,.15,.10,.11
1986,.28,.39,.27,.24,.24,.11,.11,.12,.00,.13,.11,.16,.18,.18,.27,.25,.11,.08
1987,.36,.45,.16,.22,.25,.37,.45,.28,.39,.32,.25,.48,.33,.31,.33,.21,.37,.32
1988,.57,.43,.51,.45,.43,.43,.35,.47,.41,.40,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.37,.33,.16,.15,.34,.37,.37,.32,.21,.38,.29,.29,.28,.29,.29,.30
1990,.41,.41,.76,.55,.46,.38,.44,.30,.29,.41,.45,.41,.44,.44,.40,.59,.37,.39
1991,.41,.50,.35,.52,.38,.53,.48,.40,.48,.30,.31,.33,.41,.42,.44,.41,.47,.37
1992,.44,.42,.47,.24,.32,.26,.12,.07,.00,.09,.03,.21,.22,.23,.39,.34,.15,.04
1993,.37,.39,.36,.27,.27,.25,.28,.13,.10,.23,.06,.16,.24,.24,.32,.30,.22,.13
1994,.27,.02,.27,.41,.28,.43,.31,.21,.29,.41,.46,.36,.31,.29,.15,.32,.31,.39
1995,.51,.78,.45,.47,.26,.41,.47,.46,.33,.47,.45,.28,.45,.45,.55,.39,.45,.42
1996,.25,.48,.32,.36,.27,.25,.36,.49,.25,.19,.41,.40,.34,.33,.34,.32,.36,.28
1997,.32,.38,.53,.36,.36,.54,.35,.41,.53,.62,.65,.59,.47,.45,.36,.42,.43,.60
1998,.60,.90,.63,.63,.69,.77,.68,.66,.41,.44,.49,.56,.62,.62,.69,.65,.70,.45
1999,.47,.65,.34,.33,.31,.37,.37,.31,.41,.39,.38,.43,.40,.41,.56,.33,.35,.39
2000,.24,.56,.57,.57,.36,.41,.39,.42,.41,.28,.32,.29,.40,.41,.41,.50,.41,.34
2001,.42,.44,.56,.51,.57,.54,.61,.48,.54,.51,.70,.56,.54,.52,.39,.55,.54,.58
2002,.75,.76,.90,.57,.63,.55,.61,.53,.63,.55,.58,.44,.63,.64,.69,.70,.57,.59
2003,.73,.55,.57,.54,.61,.48,.54,.65,.65,.74,.53,.73,.61,.59,.57,.58,.56,.64
2004,.58,.72,.65,.63,.40,.43,.25,.44,.51,.63,.70,.50,.53,.55,.68,.56,.37,.61
2005,.71,.56,.70,.67,.63,.66,.64,.61,.75,.76,.72,.65,.67,.66,.59,.67,.64,.74
2006,.56,.68,.61,.50,.47,.63,.52,.69,.62,.67,.69,.74,.62,.61,.63,.53,.62,.66
2007,.95,.70,.69,.74,.66,.58,.60,.57,.60,.57,.55,.46,.64,.66,.79,.69,.58,.57
2008,.23,.34,.73,.51,.47,.45,.59,.43,.63,.63,.65,.53,.51,.51,.34,.57,.49,.63
2009,.61,.50,.52,.59,.65,.65,.70,.66,.68,.64,.76,.66,.63,.62,.55,.58,.67,.69
2010,.73,.79,.92,.84,.73,.63,.59,.63,.59,.69,.77,.46,.70,.71,.73,.83,.62,.68
2011,.49,.51,.62,.61,.50,.56,.71,.71,.54,.63,.55,.53,.58,.57,.49,.58,.66,.57
2012,.45,.47,.56,.68,.74,.63,.54,.61,.72,.75,.74,.52,.62,.62,.48,.66,.59,.74
2013,.66,.55,.66,.52,.58,.65,.57,.66,.77,.68,.79,.65,.65,.63,.58,.59,.63,.74
2014,.73,.52,.76,.77,.85,.67,.56,.81,.88,.82,.66,.78,.73,.72,.64,.80,.68,.79
2015,.81,.87,.90,.74,.76,.79,.71,.79,.82,1.08,1.03,1.10,.87,.84,.82,.80,.77,.97
2016,1.16,1.34,1.31,1.08,.91,.78,.82,1.00,.88,.89,.90,.82,.99,1.01,1.20,1.10,.87,.89
2017,.96,1.12,1.12,.92,.88,.70,.81,.87,.76,.87,.84,.87,.89,.89,.97,.97,.79,.82
2018,.77,.80,.90,.85,.82,***,***,***,***,***,***,***,***,***,.81,.86,***,***
